,data_reconstructiondate
17,1985
18,2007
19,1970
24,1961
27,1964
34,1975
45,1953
54,1951
68,1990
74,1961-1962
78,1967
82,1976
83,1959
84,1959
87,1971
88,1980
104,1968
112,1946
118,1965
119,1960
121,1963
127,1973
129,1979
133,1964
138,1981
139,1965
140,1968
142,1989
153,1961
161,1966
166,1963
178,1993
183,1952
203,1990
215,1970
216,1995
218,1984
223,2005
235,1992
246,2008
256,1964
257,1992
258,1988
269,1994
273,1954
275,1975
276,1960
283,1965
330,1989
335,1953
348,1985
352,1981
356,1976
360,1971
362,1969
368,1969
376,1965
377,1963
382,1968
383,1971
385,1988
386,1973
394,1984
406,1961
407,1974
409,1966
422,1957
423,1959
426,1964
429,1957
434,1949
435,1958
441,1968
447,1964
449,1978
458,1969
459,1950
460,1977
461,1992
465,1969
466,1953
467,1963
470,1954
471,1990
473,1990
482,1947
484,1953-1954
485,1960
487,"1988,1972"
490,1975
492,1955
499,1963
502,1984
506,1953
521,1965
522,1978
523,2009
531,1972
545,1952
546,1957
561,1986
564,1954
583,1950
586,2002
592,1985
597,2001
601,1968
641,1991
650,2004
663,1975
676,1985
703,1999
708,1955
710,1950
715,1958
725,1990
726,1989
729,1965
731,"1954, 1984"
734,1967
747,1975
748,1961
749,1976
750,1955
755,1975
756,1972
759,1964
767,1973
773,1973
776,1951
781,1972
791,1995
795,1987
798,1966
801,1956
804,1970
815,1972
818,1984
819,1983
836,1968
837,1995
841,1955
843,1947
845,1975
851,1958
855,1995
860,1988
861,1968
864,1963
872,1964
873,1950
876,1959
877,1974
880,1988
885,1981
886,1974
889,1954
891,1977
905,1957
906,1948
922,1954
931,1979
957,2001
970,1970
1025,1968
1028,1999
1035,1985
1039,1978
1040,1984
1043,1972
1058,1950-1991
1082,1961
1097,1960
1110,1969
1118,1978
1120,1960
1121,1974
1122,1953
1131,1968
1151,1976
1155,1956
1170,1973
1177,2007
1179,1949-1950
1181,1968
1182,1958
1184,1978
1188,1974
1191,1970
1200,1964
1201,1955
1209,1975
1210,1948
1212,1979
1214,1976
1221,1983
1223,1970
1225,1956
1228,1956
1229,1987
1232,1970
1235,1960
1237,1967
1240,1980
1242,1990
1244,1955
1246,1964
1251,1982
1253,1968
1254,1996
1263,1968
1266,1965
1272,2008
1278,1956
1281,1967
1304,1990
1309,1963
1316,1977
1332,1995
1334,1948
1337,2008
1363,1988
1389,1973
1405,1969
1408,1987
1422,1965
1423,1956
1432,1964
1451,1981
1454,1968
1456,1968
1468,1963
1470,1961
1474,2006
1475,1960
1483,1995
1485,1967
1490,1959
1496,1958
1497,1968
1499,1984
1501,1983
1520,1974
1525,1993
1526,1971
1529,1992
1531,1960
1533,1961
1535,1970
1543,1958
1545,1978
1546,1976
1547,1964
1554,1988
1563,1972
1568,1982
1569,1977
1575,1967
1578,1962
1581,1968
1584,1955
1588,1969
1594,1989
1601,1983
1605,1991
1606,1988
1607,1952
1608,1955
1613,1969
1616,1955
1618,1965
1622,1988
1630,1951
1631,1962
1644,1969
1649,1982
1664,2006
1673,1989
1677,2005
1685,1974
1690,1953
1696,2001
1700,1987
1707,2008
1731,1958
1738,1994
1753,1997
1761,1953
1771,2008
1776,2009
1797,0
1803,1994
1807,1975
1809,1989
1829,1976
1832,1952
1836,1966
1841,1967
1842,1957
1857,1977
1861,1992
1876,1950
1896,1981
1903,1966
1908,1974
1911,1987
1913,1989
1921,1958
1923,1964
1924,1966
1927,1984
1930,1974
1934,1978
1936,1974
1938,1973
1939,1973
1945,1983
1948,1949
1951,1986
1952,1970
1954,1987
1966,1996
1968,1973
1974,1964
1975,1967
1976,1957
1977,1961
1979,1965
1981,1979
1999,1954
2012,1963
2022,1991
2023,1982
2037,1982
2038,1975
2041,1984
2043,1982
2052,1972
2053,2002
2054,1975
2058,2006
2060,1975
2081,1972
2091,1962
2097,1989
2104,1992
2109,2009
2112,1996
2125,1972
2128,2003
2134,1973
2137,1967
2151,1981
2175,1983
2176,1960
2179,1978
2190,1969
2194,1955
2195,1960
2197,1960
2199,1983
2200,1980
2212,1953
2215,1968
2219,1981
2220,1973
2222,1962
2226,1988
2235,1997
2250,1949
2260,1956
2263,лицевая часть-1949
2272,1979
2275,1967
2281,1972
2282,1965
2288,1981
2295,1963
2297,1959
2302,1967
2304,1971
2310,1964
2313,1971
2314,1955
2315,1960
2317,1971
2320,1968
2321,1978
2322,1949
2345,1963
2361,1987
2372,1975
2378,1982
2419,1952
2428,1975
2432,1950
2443,1973
2455,1988
2459,2000
2462,1995
2468,2005
2470,1963
2493,1986
2494,1999
2527,1954
2544,1963
2547,1973
2556,1968
2559,1972
2560,1961
2563,1991
2570,1974
2576,1974
2586,1976
2592,1983
2594,1960
2596,1959
2598,1976
2613,1972
2617,1971
2621,1973
2622,1971
2624,1974
2626,1978
2627,1964
2629,1962
2633,1978
2634,1957
2635,1975
2636,1996
2641,1963
2643,1973
2646,1958
2647,1985
2649,1954
2654,1981
2656,1991
2661,1959
2662,1963
2663,1976
2664,1958
2666,1986
2667,1973
2670,1960
2672,1972
2676,1952
2677,1981
2678,1960
2679,1980
2680,1980
2681,2008
2684,1976
2696,1976
2705,1999
2707,1967
2734,1986
2739,2000
2766,1973
2776,1951
2777,1979
2788,1965
2792,1990
2802,1972
2808,1962
2810,1963
2828,1955
2850,1974
2858,1965
2868,1970
2871,1952
2875,1961
2876,1970
2877,1964
2885,1990
2898,1967
2901,1985
2903,1983
2904,1976
2923,1987
2926,1956
2927,1970
2928,1972
2930,1965
2933,1959
2936,1982
2938,1976
2942,1961
2954,1966
2955,1958
2957,1967
2958,1983
2962,1962
2969,1962
2971,1967
2978,1964
2987,1974
2988,1982
3004,1966
3005,1959
3008,1968
3010,1979
3011,1959
3029,1948
3050,1975
3051,2006
3065,1965
3072,1961
3083,1959
3095,2004
3118,1967
3134,2006
3156,1971
3158,1965
3186,1970
3199,1966
3215,1985
3222,1966
3223,1957
3234,1973
3242,1963
3243,1981
3246,1988
3250,1969
3265,1963
3266,1962
3268,1962
3271,1957
3279,1951
3281,1979
3287,1968
3290,1965
3294,1968
3309,1985
3312,1984
3315,1969
3317,1966
3318,1975
3326,1959
3330,1962
3333,1967
3335,1974
3337,1979
3339,1963
3340,1965
3344,1972
3347,1964
3350,1962
3356,1966
3357,1984
3360,1955
3364,1978
3365,1997
3373,1964
3386,1963
3400,1958
3408,1987
3423,1984
3428,1963
3443,2000
3454,1986
3459,1997
3461,1983
3472,1957
3487,1950
3497,1995
3517,1961
3524,2002
3526,1966
3534,2006
3537,1986
3543,1958
3563,1961
3569,1946
3579,1964
3587,1973
3597,1988
3599,1966
3603,1969
3607,1953
3610,1965
3639,1970
3643,1964
3646,1965
3647,1978
3648,1975
3652,1995
3664,1981
3672,1972
3673,1969
3674,1985
3687,1966
3691,1973
3693,1953
3695,1968
3698,1965
3699,1991
3703,1967
3704,1967
3708,1971
3709,1964
3712,1967
3713,1988
3714,2001
3722,1983
3726,1955
3731,1963
3736,2010
3738,1972
3749,1947
3756,2006
3757,1969
3780,1996
3783,1961
3789,1988
3796,1980
3799,1987
3815,1987
3818,1994
3829,2003
3848,1998
3859,1960
3865,1986
3868,1955
3879,1999
3880,1950
3889,1988
3893,1963
3897,1956
3908,1969
3909,1975
3911,1974
3914,1965
3915,1967
3921,1990
3924,1966
3925,1962
3928,1963
3929,1965
3936,1970
3949,1968
3953,1969
3960,1959
3963,1963
3964,1964
3966,1967
3970,1984
3974,1966
3976,1976
3977,1974
3996,1963
4000,1963
4002,1973
4003,1970
4016,1999
4017,1959
4020,1947
4026,1959
4032,1964
4037,1988
4043,1958
4045,1960
4051,1965
4052,1962
4057,2009
4058,1951
4064,1981
4072,1962
4085,1963
4102,1988
4109,1979
4117,1998
4171,1968
4172,1966
4182,1959
4188,1988
4203,1977
4204,1978
4210,1987
4220,1950
4221,1954
4228,1979
4243,1971
4256,1961
4269,1948
4275,1972
4280,1959
4287,1974
4291,1952
4292,1968
4293,1965
4308,1948
4311,1962
4315,1957
4316,1949
4326,1960
4343,1972
4347,1976
4353,1971
4364,1959
4367,1962
4369,1964
4371,1954
4372,1965
4373,1967
4378,1968
4386,1972
4387,1960
4389,1952
4395,2001
4397,1953
4403,1965
4407,1990
4440,1994
4443,1987
4453,1976
4458,1999
4474,1980
4488,1963
4501,1966
4503,1964
4511,1977
4513,1976
4515,1997
4540,2010
4551,1946-1977
4554,1996
4555,1966
4559,1961
4563,1958
