,geometry
74,POINT (30.2911742 59.9407373)
126,POINT (30.26898217034481 59.94457565)
161,POINT (30.2729736 59.94481529999999)
166,POINT (30.27618424144169 59.935427)
215,POINT (30.2881924 59.9439233)
222,POINT (30.27420789459689 59.94018689999999)
235,POINT (30.2733969 59.93983225)
256,POINT (30.28397353520111 59.941003)
257,POINT (30.2824924 59.94242439999999)
294,POINT (30.2749756 59.9436149)
352,POINT (30.2765916477418 59.93853805)
376,POINT (30.2834884594358 59.93763195)
441,POINT (30.2736848 59.9354269)
484,POINT (30.271216 59.9351792)
487,POINT (30.2705345360428 59.9431124)
503,POINT (30.2880677 59.9451195)
666,POINT (30.2853911168242 59.942126)
676,POINT (30.2900524009524 59.9395255)
734,POINT (30.2753459 59.9374547)
753,POINT (30.2820665 59.9369001)
759,POINT (30.28397353520111 59.941003)
795,POINT (30.2883676 59.937387)
804,POINT (30.29150850000001 59.94014079999999)
848,POINT (30.2750849 59.9409527)
850,POINT (30.26993863181231 59.943528)
863,POINT (30.2708974 59.9410629)
879,POINT (30.2781727 59.94562120000001)
887,POINT (30.28011397771471 59.945731)
1025,POINT (30.2869333 59.9443191)
1104,POINT (30.2765114 59.93942420000001)
1214,POINT (30.2792865954715 59.94635110000001)
1237,POINT (30.2754965256258 59.93808775)
1246,POINT (30.2609147471852 59.94449945)
1253,POINT (30.286507047071 59.94177270000001)
1302,POINT (30.26751462834789 59.943474)
1405,POINT (30.29221139968151 59.93975665)
1408,POINT (30.2738598 59.9410342)
1490,POINT (30.283157 59.936002)
1575,POINT (30.2791799 59.9452727)
1578,POINT (30.2674198749845 59.93742475)
1584,POINT (30.2657375207082 59.94503525)
1600,POINT (30.26838376681311 59.9418495)
1615,POINT (30.271216 59.9351792)
1855,POINT (30.2782218 59.9408201)
1933,POINT (30.2711543 59.9346832)
1951,POINT (30.2757125 59.9489123)
1957,POINT (30.2782037941289 59.944802)
2054,POINT (30.2708067720318 59.9449335)
2192,POINT (30.2865585 59.9447057)
2290,POINT (30.2708974 59.9410629)
2294,POINT (30.2765927223504 59.94525495)
2299,POINT (30.2693793377334 59.93689770000001)
2312,POINT (30.2589508361438 59.9466499)
2631,POINT (30.2740356 59.9385672)
2634,POINT (30.2665749370968 59.9437943)
2636,POINT (30.27167410000001 59.94646899999999)
2652,POINT (30.272007873862 59.9424882)
2656,POINT (30.2606923062998 59.93661650000001)
2662,POINT (30.2614635439515 59.9444876)
2862,POINT (30.2780482 59.9381694)
2927,POINT (30.292067 59.94000550000001)
2942,POINT (30.2857103 59.9454703)
2952,POINT (30.2573039976672 59.93046485)
2968,POINT (30.2792907509588 59.94453025)
3234,POINT (30.2813579 59.94047)
3266,POINT (30.280978 59.94125210000001)
3290,POINT (30.2884006 59.94481010000001)
3316,POINT (30.267011672137 59.93733615)
3328,POINT (30.26984710281711 59.94659435)
3461,POINT (30.2726797020647 59.94205565)
3499,POINT (30.2665073781083 59.93708965)
3504,POINT (30.27959661758969 59.9442534)
3629,POINT (30.286234539357 59.94309215)
3635,POINT (30.2797737 59.94142220000001)
3691,POINT (30.2763092317519 59.94841360000001)
3693,POINT (30.273052941069 59.9475089)
3698,POINT (30.28081616255461 59.94783715)
3701,POINT (30.2617951770618 59.9367035)
3731,POINT (30.2701015850286 59.9471209)
3908,POINT (30.2825126 59.93653760000001)
3949,POINT (30.2899529 59.9417601)
4024,POINT (30.2668924 59.9360519)
4030,POINT (30.2703754148658 59.9335875)
4043,POINT (30.2743114 59.932706)
4044,POINT (30.27317352606 59.93784125)
4105,POINT (30.262327631199 59.9353014)
4287,POINT (30.2793744 59.940868)
4293,POINT (30.2821097 59.9427366)
4461,POINT (30.28687458633269 59.93945085)
4503,POINT (30.28112883071689 59.9471254)
4511,POINT (30.2832491981809 59.93977915)
4599,POINT (30.2773024 59.9415836)
4604,POINT (30.2829732 59.9426032)
4615,POINT (30.288037 59.9434175)
4699,POINT (30.2606919931459 59.9460741)
4700,POINT (30.2696521062668 59.94400755)
4732,POINT (30.2719183389865 59.93961005)
4863,POINT (30.2809433 59.9416899)
4946,POINT (30.2781390952327 59.93952765)
4947,POINT (30.2831636 59.9418743)
4951,POINT (30.2771382 59.9417373)
4952,POINT (30.2840264 59.9445404)
4953,POINT (30.2820283 59.9375215)
4995,POINT (30.2832896 59.94199870000001)
5062,POINT (30.2810304272189 59.94582205)
5068,POINT (30.28263072973161 59.94512005)
5074,POINT (30.2606873 59.9283983)
5077,POINT (30.2741826862842 59.94545285)
5305,POINT (30.280978 59.94125210000001)
5310,POINT (30.2831636 59.9418743)
5344,POINT (30.2892548 59.9423436)
5395,POINT (30.2703357 59.9298774)
5398,POINT (30.2777453 59.94937289999999)
5406,POINT (30.26413747365951 59.9418116)
5417,POINT (30.2777453 59.94937289999999)
5423,POINT (30.2692081023294 59.9377608)
5430,POINT (30.2623087215209 59.93122005)
5433,POINT (30.2614374 59.943503)
5645,POINT (30.2779527011828 59.93907745)
5696,POINT (30.288037 59.9434175)
5716,POINT (30.286234539357 59.94309215)
5779,POINT (30.2674198749845 59.93742475)
5795,POINT (30.2711965033514 59.94409425)
5990,POINT (30.2771458 59.9381387)
6010,POINT (30.2814657 59.9382549)
6021,POINT (30.2889745 59.9403818)
6098,POINT (30.2674097902951 59.9363493)
6105,POINT (30.2601725993597 59.94618925)
6111,POINT (30.2685013175795 59.93880655)
6117,POINT (30.2740911430151 59.9407478)
6250,POINT (30.2776221 59.9407022)
6285,POINT (30.2694749115327 59.94185645)
6344,POINT (30.2866729 59.93877809999999)
6445,POINT (30.26970568506169 59.93370065)
6546,POINT (30.29158 59.9403919)
6706,POINT (30.2912801399271 59.93999640000001)
6740,POINT (30.2820916098349 59.9455904)
6755,POINT (30.2703357 59.9298774)
6794,POINT (30.2796929624584 59.93592090000001)
6934,POINT (30.2906362633354 59.93903565)
6939,POINT (30.271216 59.9351792)
7076,POINT (30.2831013 59.9381821)
7117,POINT (30.2654040263657 59.93558170000001)
7121,POINT (30.2694986 59.94777480000001)
7124,POINT (30.2646575701652 59.9364427)
7132,POINT (30.2739962433872 59.93926579999999)
7148,POINT (30.2742783752001 59.94434329999999)
7236,POINT (30.2913414608531 59.9404955)
7251,POINT (30.269790231416 59.9424524)
7267,POINT (30.2800262 59.94747760000001)
7361,POINT (30.279397 59.939235)
7453,POINT (30.2642422695108 59.94703565)
7552,POINT (30.2657998926791 59.9416573)
7555,POINT (30.27759 59.947203)
7640,POINT (30.2863968045258 59.94271155)
7712,POINT (30.2866574 59.9436855)
7735,POINT (30.28397160615389 59.94228029999999)
7776,POINT (30.2850281 59.946049)
7803,POINT (30.28081616255461 59.94783715)
7811,POINT (30.271514165944 59.94448135)
7819,POINT (30.2733969 59.93983225)
7827,POINT (30.287244 59.94582560000001)
7843,POINT (30.27161824205839 59.9398505)
7891,POINT (30.282811250713 59.94497085)
7899,POINT (30.2785913351813 59.94539570000001)
8046,POINT (30.2777199 59.9412281)
8068,POINT (30.2757574672657 59.93930705)
8117,POINT (30.2840381 59.9468881)
8131,POINT (30.26922870000001 59.93399820000001)
8147,POINT (30.2699837459382 59.93805615)
8159,POINT (30.27207970000001 59.9455072)
8173,POINT (30.2748841 59.94369810000001)
8216,POINT (30.2763092317519 59.94841360000001)
8285,POINT (30.26249216555511 59.94269505)
8430,POINT (30.2840381 59.9468881)
8449,POINT (30.2670211 59.9329711)
8464,POINT (30.2777453 59.94937289999999)
8469,POINT (30.2614895416668 59.9457313)
8473,POINT (30.2726719 59.945064)
8474,POINT (30.26838376681311 59.9418495)
8492,POINT (30.28152391197161 59.94530105)
8554,POINT (30.28011397771471 59.945731)
8667,POINT (30.2532917255947 59.939271)
8709,POINT (30.284181 59.9380334)
8716,POINT (30.2820283 59.9375215)
8748,POINT (30.2852654326624 59.94357585)
8792,POINT (30.2709532353269 59.94206265)
8816,POINT (30.2805138998995 59.94636525)
8820,POINT (30.2722096833096 59.93455145)
8891,POINT (30.2921723853586 59.94157095)
8946,POINT (30.2828192 59.936834)
8959,POINT (30.28687458633269 59.93945085)
8965,POINT (30.2878843986913 59.9413405)
9023,POINT (30.2779527011828 59.93907745)
9045,POINT (30.2799336 59.9417042)
9140,POINT (30.2821127 59.9462759)
9152,POINT (30.2755500502054 59.9466697)
9176,POINT (30.26732459235651 59.935809)
9182,POINT (30.2841847 59.9473618)
9186,POINT (30.267011672137 59.93733615)
9228,POINT (30.269276 59.9363067)
